Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,C,
D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,
H1,MountingHole_3.7mm_Pad_Via,1,MountingHole,
"IN1, J1, J2, J3, J4, J5, J6, J7, J8",DG235-3.81-02P,9,Conn_01x02,
J9,PinHeader_1x03_P2.54mm_Vertical,1,PROG,
"R1, R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,4k7,
R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,270R,
RV1,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,B72650M251K72,
U1,SOT-223-3_TabPin2,1,LM1117-3.3,
"U10, U11, U4, U5, U6, U7, U8, U9",G3MB-SSR,8,G3MB-SSR,
U2,HLK-PM01,1,HLK-PM01,
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
X1,Micro-Match-FOB-4,1,I2C,
X2,Micro-Match-FOB-6,1,I2C,
X3,IDC-Header_2x03_P2.54mm_Vertical,1,I2C,
